SVI Theme: Socioeconomic Status; Below Poverty (Percentile); NaturalBreaks,,,,,
Data downloaded on 30-October-2023,,,,,
Year,County_FIPS,County,State,Obesity Percentage,Below Poverty
2018,48437,Swisher County,Texas,18.3,0.8541
2018,48447,Throckmorton County,Texas,18.3,0.4936
2018,51017,Bath County,Virginia,18.3,0.2659
2018,51610,Falls Church City,Virginia,18.3,0.0006
2018,13007,Baker County,Georgia,18.4,0.8306
2018,17185,Wabash County,Illinois,18.4,0.3
2018,29151,Osage County,Missouri,18.4,0.0567
2018,29227,Worth County,Missouri,18.4,0.5287
2018,38087,Slope County,North Dakota,18.4,0.0197
2018,41021,Gilliam County,Oregon,18.4,0.2312
2018,47083,Houston County,Tennessee,18.4,0.5739
2018,48087,Collingsworth County,Texas,18.4,0.5739
2018,48107,Crosby County,Texas,18.4,0.8124
2018,48115,Dawson County,Texas,18.4,0.871
2018,48159,Franklin County,Texas,18.4,0.1048
2018,48177,Gonzales County,Texas,18.4,0.5602
2018,48211,Hemphill County,Texas,18.4,0.443
2018,48295,Lipscomb County,Texas,18.4,0.2704
2018,48333,Mills County,Texas,18.4,0.6443
2018,48501,Yoakum County,Texas,18.4,0.1303
2018,51720,Norton City,Virginia,18.4,0.9675
2018,8014,Broomfield County,Colorado,18.5,0.0127
2018,8053,Hinsdale County,Colorado,18.5,0.3771
2018,13065,Clinch County,Georgia,18.5,0.9943
2018,17013,Calhoun County,Illinois,18.5,0.3643
2018,29065,Dent County,Missouri,18.5,0.8217
2018,29093,Iron County,Missouri,18.5,0.8178
2018,30069,Petroleum County,Montana,18.5,0.0997
2018,46075,Jones County,South Dakota,18.5,0.2239
2018,46111,Sanborn County,South Dakota,18.5,0.2057
2018,48301,Loving County,Texas,18.5,0.7322
2018,48465,Val Verde County,Texas,18.5,0.7841
2018,51081,Greensville County,Virginia,18.5,0.6338
2018,51735,Poquoson City,Virginia,18.5,0.0054
2018,6051,Mono County,California,18.6,0.2115
2018,13101,Echols County,Georgia,18.6,0.9443
2018,13249,Schley County,Georgia,18.6,0.8306
2018,13301,Warren County,Georgia,18.6,0.9376
2018,30109,Wibaux County,Montana,18.6,0.5675
2018,48189,Hale County,Texas,18.6,0.7366
2018,48253,Jones County,Texas,18.6,0.4653
2018,48271,Kinney County,Texas,18.6,0.7322
2018,48353,Nolan County,Texas,18.6,0.5229
2018,48403,Sabine County,Texas,18.6,0.8328
2018,48505,Zapata County,Texas,18.6,0.9952
2018,1011,Bullock County,Alabama,18.7,0.9777
2018,8019,Clear Creek County,Colorado,18.7,0.0197
2018,13099,Early County,Georgia,18.7,0.9627
2018,13171,Lamar County,Georgia,18.7,0.7968
2018,17175,Stark County,Illinois,18.7,0.5889
2018,17181,Union County,Illinois,18.7,0.7083
2018,25019,Nantucket County,Massachusetts,18.7,0.1115
2018,29203,Shannon County,Missouri,18.7,0.9605
2018,35021,Harding County,New Mexico,18.7,0.7178
2018,37177,Tyrrell County,North Carolina,18.7,0.9226
2018,37185,Warren County,North Carolina,18.7,0.7545
2018,47161,Stewart County,Tennessee,18.7,0.6194
2018,48165,Gaines County,Texas,18.7,0.4583
2018,48235,Irion County,Texas,18.7,0.5006
2018,48239,Jackson County,Texas,18.7,0.4344
2018,51685,Manassas Park City,Virginia,18.7,0.1675
2018,51690,Martinsville City,Virginia,18.7,0.9261
2018,8033,Dolores County,Colorado,18.8,0.4169
2018,13237,Putnam County,Georgia,18.8,0.5831
2018,13267,Tattnall County,Georgia,18.8,0.8643
2018,13289,Twiggs County,Georgia,18.8,0.9354
2018,16081,Teton County,Idaho,18.8,0.0303
2018,17047,Edwards County,Illinois,18.8,0.2057
2018,29035,Carter County,Missouri,18.8,0.6643
2018,48255,Karnes County,Texas,18.8,0.7322
2018,48425,Somervell County,Texas,18.8,0.914
2018,48455,Trinity County,Texas,18.8,0.5889
2018,2068,Denali Borough,Alaska,18.9,0.6443
2018,6061,Placer County,California,18.9,0.0809
2018,8065,Lake County,Colorado,18.9,0.6194
2018,13035,Butts County,Georgia,18.9,0.8933
2018,16033,Clark County,Idaho,18.9,0.7777
2018,17039,De Witt County,Illinois,18.9,0.2497
2018,17053,Ford County,Illinois,18.9,0.5675
2018,17077,Jackson County,Illinois,18.9,0.9516
2018,21201,Robertson County,Kentucky,18.9,0.9481
2018,30067,Park County,Montana,18.9,0.343
2018,42053,Forest County,Pennsylvania,18.9,0.4799
2018,47021,Cheatham County,Tennessee,18.9,0.2803
2018,47027,Clay County,Tennessee,18.9,0.943
2018,48133,Eastland County,Texas,18.9,0.8057
2018,48315,Marion County,Texas,18.9,0.8124
2018,48371,Pecos County,Texas,18.9,0.3309
2018,5097,Montgomery County,Arkansas,19,0.7417
2018,8035,Douglas County,Colorado,19,0.0013
2018,13165,Jenkins County,Georgia,19,0.9666
2018,13219,Oconee County,Georgia,19,0.0274
2018,13243,Randolph County,Georgia,19,0.9914
2018,17023,Clark County,Illinois,19,0.3497
2018,17069,Hardin County,Illinois,19,0.6111
2018,26095,Luce County,Michigan,19,0.6258
2018,29039,Cedar County,Missouri,19,0.7271
2018,31117,Mcpherson County,Nebraska,19,0.6494
2018,37009,Ashe County,North Carolina,19,0.7045
2018,37187,Washington County,North Carolina,19,0.886
2018,40003,Alfalfa County,Oklahoma,19,0.1261
2018,46073,Jerauld County,South Dakota,19,0.0936
2018,46117,Stanley County,South Dakota,19,0.008
2018,48123,Dewitt County,Texas,19,0.5831
2018,48233,Hutchinson County,Texas,19,0.5287
2018,48379,Rains County,Texas,19,0.2551
2018,49017,Garfield County,Utah,19,0.6959
2018,51021,Bland County,Virginia,19,0.0997
2018,51036,Charles City County,Virginia,19,0.3838
2018,51181,Surry County,Virginia,19,0.3573
2018,8085,Montrose County,Colorado,19.1,0.6338
2018,13109,Evans County,Georgia,19.1,0.9506
2018,13141,Hancock County,Georgia,19.1,0.9013
2018,13149,Heard County,Georgia,19.1,0.5538
2018,13155,Irwin County,Georgia,19.1,0.9401
2018,13311,White County,Georgia,19.1,0.428
2018,17041,Douglas County,Illinois,19.1,0.2608
2018,35049,Santa Fe County,New Mexico,19.1,0.3643
2018,42067,Juniata County,Pennsylvania,19.1,0.3061
2018,46053,Gregory County,South Dakota,19.1,0.4344
2018,47043,Dickson County,Tennessee,19.1,0.4653
2018,48023,Baylor County,Texas,19.1,0.2427
2018,48149,Fayette County,Texas,19.1,0.2427
2018,48281,Lampasas County,Texas,19.1,0.2659
2018,48323,Maverick County,Texas,19.1,0.9443
2018,48351,Newton County,Texas,19.1,0.808
2018,48369,Parmer County,Texas,19.1,0.6111
2018,48435,Sutton County,Texas,19.1,0.0936
2018,48463,Uvalde County,Texas,19.1,0.6494
2018,48493,Wilson County,Texas,19.1,0.2175
2018,51530,Buena Vista City,Virginia,19.1,0.792
